residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,Density,pH,sulphates,alcohol,quality
1.8,0.05,27,63,0.9916,3.68,0.79,1,6
2.2,0.079,19,58,0.9991,3.18,0.56,1.1,6
2.95,0.116,12,29,0.997,3.24,0.75,1.7,7
2.2,0.074,10,47,1.0008,3.25,0.57,1.8,1
2,0.422,16,62,0.9979,3.03,1.17,1.8,5
4.4,0.086,6,29,0.9974,3.38,0.5,2,4
2.7,0.092,25,60,0.9971,3.31,0.61,2.1,6
2.2,0.093,11,75,0.99736,3.2,0.59,2.2,2
1.7,0.415,12,66,0.99623,3,1.17,2.2,5
1.7,0.415,12,66,0.99623,3,1.17,2.2,5
4.1,0.08,27,46,0.99592,3.02,0.47,2.2,5
2.4,0.078,26,121,0.9978,3.23,0.58,2.2,5
2.1,0.087,23,54,0.998,3.42,0.74,2.2,5
1.9,0.065,9,18,0.9972,3.46,0.65,2.2,5
2.1,0.137,5,9,0.99476,3.5,0.4,2.8,2
2.5,0.058,5,9,0.99632,3.38,0.55,2.8,2
2.2,0.067,7,14,0.99517,3.4,0.58,2.8,2
2,0.06,4,11,0.99592,3.53,0.64,2.8,2
2.4,0.064,5,27,0.9999,3.08,0.87,2.8,5
2.8,0.116,26,55,0.99722,3.18,0.68,2.8,5
4.65,0.086,4,11,0.9962,3.41,0.39,2.8,5
4.65,0.086,4,11,0.9962,3.41,0.39,2.8,5
1.7,0.081,3,12,0.9964,3.53,0.49,2.8,5
1.8,0.082,3,12,0.9964,3.54,0.48,2.8,5
3.6,0.078,15,37,0.9973,3.35,0.86,2.8,8
2.2,0.057,14,36,0.99614,3.23,0.49,2.9,2
1.7,0.263,5,62,0.9971,3,1.09,2.9,5
1.8,0.403,19,56,0.99632,3.02,1.15,2.9,5
1.8,0.069,26,120,0.99625,3.29,0.53,2.9,5
2.3,0.079,6,18,0.99735,3.29,0.63,2.9,5
2.6,0.081,6,14,0.9975,3.3,0.52,2.9,5
6.1,0.122,34,151,1.001,3.31,1.14,2.9,5
2.1,0.076,22,53,0.9957,3.32,0.62,2.9,5
2.5,0.076,16,42,0.9972,3.44,0.52,2.9,5
1.7,0.088,15,64,0.9969,3.46,0.79,2.9,5
2,0.075,9,39,0.9987,3.48,0.62,2.9,5
2.2,0.073,12,22,0.9969,3.48,0.5,2.9,5
1.8,0.077,11,65,0.9971,3.54,0.58,2.9,5
2.4,0.073,19,25,0.99258,3.56,0.55,2.9,5
1.8,0.058,4,8,0.9972,3.36,0.33,3.1,2
1.7,0.415,14,32,0.99656,3.09,1.06,3.1,6
1.4,0.059,11,25,0.9966,3.36,0.76,3.1,6
2.5,0.055,12,25,0.9952,3.34,0.79,3.3,7
4.5,0.07,26,49,0.9981,3.05,0.57,3.6,2
1.8,0.075,5,19,0.99616,3.3,0.44,3.6,2
2.1,0.07,14,47,0.9991,3.3,0.56,3.6,2
2.6,0.073,22,84,0.9972,3.32,0.7,3.6,4
2.2,0.089,13,26,0.9978,3.37,0.46,3.6,4
2.5,0.081,12,24,0.99798,3.38,0.46,3.6,4
2.2,0.106,8,32,0.9986,2.89,0.5,3.6,5
2.2,0.106,8,32,0.9986,2.89,0.5,3.6,5
2.1,0.08,8,33,0.99845,3.68,0.71,3.6,5
1.3,0.072,9,20,0.9965,3.17,1.08,3.8,4
2.1,0.084,11,43,0.9976,3.31,0.53,3.8,4
1.7,0.074,4,23,0.9971,3.15,0.74,3.8,5
3.8,0.176,52,145,0.9986,3.16,0.88,3.8,5
3.9,0.17,51,148,0.9986,3.17,0.93,3.8,5
2.1,0.112,12,90,0.9973,3.2,0.52,3.8,5
3.3,0.105,33,98,1.001,3.2,0.95,3.8,5
2.2,0.075,5,13,0.998,3.22,0.62,3.8,5
2,0.07,3,22,0.9963,3.25,0.63,3.8,5
2.5,0.075,3,13,0.998,3.49,0.52,3.8,5
1.8,0.076,8,24,0.9978,3.48,0.53,4,5
1.6,0.114,9,29,0.9974,3.26,1.56,4.1,5
2,0.06,38,62,0.9958,3.26,0.56,4.2,6
2.6,0.094,38,106,0.9982,3.08,0.59,4.3,5
2.6,0.109,31,119,0.99801,3.15,0.5,4.3,5
2,0.112,13,95,0.997,3.16,0.54,4.3,5
2.7,0.075,15,27,0.9974,3.26,0.61,4.3,5
2.2,0.098,5,15,0.9988,3.36,0.49,4.3,5
2.2,0.098,5,15,0.9988,3.36,0.49,4.3,5
3,0.067,12,53,0.9971,3.36,0.57,4.3,5
1.8,0.07,13,40,0.997,3.44,0.6,4.3,5
2,0.088,16,43,0.998,3.48,0.64,4.3,5
2.2,0.053,36,127,0.9965,2.94,1.62,4.5,5
1.8,0.36,15,63,0.9964,3,1.59,4.5,5
4.6,0.073,19,43,0.9978,3.02,0.61,4.5,5
2.5,0.073,5,27,1.0001,3.05,0.64,4.5,5
4.3,0.093,51,77.5,0.99558,3.2,0.45,4.5,5
2.3,0.083,11,61,0.9982,3.21,0.5,4.5,5
2.3,0.083,11,61,0.9982,3.21,0.5,4.5,5
2.6,0.078,28,139,0.99788,3.21,0.57,4.5,5
6.7,0.235,66,115,0.99787,3.22,0.56,4.5,5
1.8,0.089,10,52,0.9968,3.23,0.77,4.5,5
1.8,0.089,10,52,0.9968,3.23,0.77,4.5,5
1.9,0.079,42,140,0.9964,3.23,0.54,4.5,5
1.9,0.092,8,86,0.9959,3.23,0.59,4.5,5
2.4,0.086,23,116,0.9976,3.23,0.64,4.5,5
3,0.081,15,115,0.998,3.23,0.59,4.5,5
1.6,0.113,12,37,0.9969,3.25,0.58,4.5,5
2.7,0.105,5,19,0.9988,3.25,0.63,4.5,5
3.3,0.09,4,13,0.99855,3.36,0.49,4.5,5
2.5,0.076,18,88,0.99745,3.53,0.55,4.5,5
2.7,0.082,16,72,0.998,3.55,0.6,4.5,5
1.6,0.09,4,11,0.99745,3.31,0.65,4.55,5
2.1,0.09,6,21,1,3.17,0.62,5.2,6
2.8,0.11,33,73,0.9955,3.17,0.63,5.2,6
2.1,0.077,5,11,0.9958,3.33,0.53,5.3,6
3.4,0.61,32,69,0.9996,2.74,2,5.4,4
2,0.087,12,67,0.99565,3.35,0.6,5.4,4
2.7,0.081,5,16,1.0006,2.98,0.54,5.4,5
1.9,0.369,15,38,0.99634,3.01,1.1,5.4,5
2.2,0.152,6,18,0.9986,3.04,1.05,5.4,5
7,0.088,27,94,0.99915,3.38,0.77,5.4,5
2.3,0.071,16,40,0.9991,3.39,0.62,5.4,5
2.3,0.087,8,38,0.9972,3.58,0.61,5.5,6
1.5,0.08,6,13,0.99498,3.66,0.62,5.6,4
2,0.104,12,89,0.9963,3.04,0.9,5.6,5
2.8,0.08,21,84,0.9985,3.06,0.57,5.6,5
4,0.071,17,65,0.99935,3.22,0.78,5.6,5
2.6,0.094,12,88,0.99796,3.26,0.66,5.6,5
2,0.076,12,20,0.99546,3.29,0.54,5.6,5
2.5,0.088,22,91,0.9979,3.29,0.62,5.6,5
2.5,0.088,22,91,0.9979,3.29,0.62,5.6,5
2.2,0.06,28,65,0.9959,3.3,0.43,5.6,5
3.4,0.102,37,92,0.9996,3.3,0.65,5.6,5
1.8,0.086,5,32,0.99464,3.36,0.44,5.6,5
1.8,0.084,4,28,0.99464,3.36,0.44,5.6,5
2.5,0.093,13,54,0.99724,3.36,0.54,5.6,5
3.6,0.107,6,20,0.9972,3.4,0.63,5.6,5
2.3,0.066,35,70,0.99588,3.43,0.62,5.6,5
2,0.071,30,52,0.99576,3.44,0.58,5.6,5
3.1,0.086,5,12,0.9958,3.54,0.6,5.7,4
5.6,0.079,23,47,0.99572,3.58,0.5,5.7,4
2,0.083,17,24,0.99437,3.59,0.55,5.7,4
2.3,0.055,14,28,0.99516,3.18,0.8,5.7,5
2.3,0.055,14,28,0.99516,3.18,0.8,5.7,5
2.1,0.127,6,16,0.9968,3.22,0.72,5.7,5
5.15,0.1,5,17,0.9996,3.22,0.62,5.7,5
2.5,0.078,6,23,0.9957,3.3,0.58,5.7,5
1.8,0.081,28,68,0.99501,3.36,0.66,5.7,5
2.5,0.104,35,155,1.001,3.41,0.67,5.7,5
1.9,0.077,25,44,0.99385,3.5,0.53,5.7,5
1.4,0.071,6,26,0.99791,3.07,0.6,5.8,4
2.6,0.093,15,47,0.9996,3.05,0.61,5.8,5
1.4,0.075,3,6,0.9969,3.13,0.63,5.8,5
1.4,0.075,3,6,0.9969,3.13,0.63,5.8,5
2.7,0.067,7,25,0.99628,3.24,0.44,5.8,5
2.1,0.062,5,14,0.9971,3.26,0.79,5.8,5
1.9,0.09,9,23,0.99648,3.36,0.67,5.8,5
3,0.104,10,22,0.99828,3.39,0.68,5.8,5
3,0.104,10,22,0.99828,3.39,0.68,5.8,5
1.9,0.066,9,17,0.99496,3.52,0.78,5.8,5
1.5,0.086,36,46,0.99522,3.53,0.57,5.8,5
2,0.086,21,73,0.997,3.36,0.57,6.1,5
2.1,0.088,7,23,0.9962,3.26,0.47,6.2,4
2.3,0.103,6,14,0.9978,3.34,0.52,6.2,4
2,0.067,28,48,0.99576,3.43,0.54,6.2,4
1.4,0.045,41,85,0.9938,3.75,0.48,6.2,4
2.5,0.072,6,37,0.9992,3.05,0.56,6.2,5
1.9,0.08,8,25,0.99746,3.69,0.73,6.2,5
1.9,0.08,8,25,0.99746,3.69,0.73,6.2,5
11,0.071,13,50,1.0015,3.16,0.69,6.2,6
1.9,0.097,14,38,0.99675,1.37,0.58,6.2,6
2.6,0.059,5,15,0.997,3.37,0.56,6.3,5
2.6,0.059,5,15,0.997,3.37,0.56,6.3,5
1.7,0.053,24,32,0.99402,3.54,0.6,6.3,5
2,0.073,25,49,0.9997,1.1,0.76,6.3,6
1.9,0.081,14,38,0.9984,3.43,0.65,6.3,6
4.25,0.097,5,14,0.9966,3.63,0.54,6.9,1
2,0.089,15,55,0.99745,3.31,0.57,6.9,4
1.6,0.069,4,8,0.99396,3.33,0.37,6.9,4
2.4,0.075,10,28,0.9978,3.14,0.61,6.9,5
4.8,0.12,23,77,1.0018,3.18,0.77,6.9,5
2.6,0.056,3,7,0.99286,3.22,0.37,6.9,5
2,0.074,27,65,0.9969,3.28,0.79,6.9,5
3,0.077,5,13,0.9976,3.29,0.55,6.9,5
2.8,0.076,15,37,0.99624,3.36,0.49,6.9,5
2.8,0.076,15,37,0.99624,3.36,0.49,6.9,5
1.8,0.066,18,47,0.9956,3.37,0.62,6.9,5
1.6,0.076,6,15,0.9962,3.44,0.58,6.9,5
3,0.102,8,23,0.9965,3.45,0.56,6.9,5
1.8,0.082,27,51,0.99634,3.49,0.64,6.9,5
1.8,0.082,27,51,0.99634,3.49,0.64,6.9,5
1.7,0.079,6,12,0.99605,3.52,0.63,6.9,5
2.5,0.066,7,15,0.99256,3.52,0.58,6.9,5
1.8,0.078,10,23,0.99636,3.53,0.61,6.9,5
2.3,0.049,17,99,0.9937,3.63,0.63,6.9,5
5.7,0.082,3,14,0.99808,3.4,0.52,7,1
2,0.111,7,60,0.99709,2.94,0.98,7,5
2.6,0.132,7,60,0.99786,2.99,1.18,7,5
2,0.092,15,54,1,1.03,0.66,7,5
2.2,0.064,12,31,0.9984,3.26,0.65,7,5
